run,threads,time_ms
1,32,210.514940
2,32,214.275002
3,32,219.198640
4,32,213.856302
5,32,203.047868
6,32,212.208327
7,32,206.629101
8,32,208.122093
9,32,229.564089
10,32,244.767960
