run,threads,time_ms
1,32,1.669763
2,32,1.779351
3,32,1.746915
4,32,1.604749
5,32,1.674758
6,32,1.662923
7,32,1.680173
8,32,1.652194
9,32,1.632057
10,32,1.830081
