run,threads,time_ms
1,1,7.226538
2,1,7.215634
3,1,7.187840
4,1,7.171914
5,1,7.150624
6,1,7.164527
7,1,7.157285
8,1,7.132608
9,1,7.106341
10,1,7.125478
