run,threads,time_ms
1,2,8.280003
2,2,8.205952
3,2,8.160143
4,2,8.198265
5,2,7.973579
6,2,8.130448
7,2,8.166779
8,2,8.084513
9,2,8.229764
10,2,8.122005
