run,threads,time_ms
1,32,3.073253
2,32,3.084069
3,32,3.148820
4,32,3.113348
5,32,3.102666
6,32,3.073979
7,32,3.089558
8,32,3.164193
9,32,3.144031
10,32,3.133515
