run,threads,time_ms
1,32,13.174077
2,32,15.498733
3,32,23.426825
4,32,27.971657
5,32,23.966466
6,32,15.616547
7,32,15.252950
8,32,17.547085
9,32,20.126900
10,32,18.333602
