run,threads,time_ms
1,32,316.721004
2,32,318.998067
3,32,310.467098
4,32,315.263664
5,32,314.770792
6,32,317.042433
7,32,310.356410
8,32,310.383808
9,32,307.687497
10,32,307.608543
