run,threads,time_ms
1,32,71.295254
2,32,77.643936
3,32,73.497185
4,32,73.225811
5,32,71.605038
6,32,73.172931
7,32,72.996268
8,32,73.145429
9,32,70.638618
10,32,70.656549
