run,threads,time_ms
1,32,376.810700
2,32,378.190678
3,32,374.264799
4,32,366.268996
5,32,351.311153
6,32,350.891037
7,32,355.609262
8,32,356.312167
9,32,355.621447
10,32,350.036532
