run,threads,time_ms
1,32,273.201678
2,32,259.608118
3,32,284.590717
4,32,287.012249
5,32,270.993141
6,32,247.866692
7,32,260.858098
8,32,247.491019
9,32,230.212396
10,32,244.047809
