run,threads,time_ms
1,32,293.469068
2,32,292.667311
3,32,290.917641
4,32,289.317332
5,32,289.258236
6,32,299.427269
7,32,322.219318
8,32,305.357572
9,32,304.483613
10,32,306.404270
