run,threads,time_ms
1,32,430.219555
2,32,427.027961
3,32,429.150602
4,32,430.303635
5,32,436.763549
6,32,427.235110
7,32,430.465247
8,32,428.271580
9,32,462.194815
10,32,453.071062
