run,threads,time_ms
1,16,4974.386276
2,16,4973.002775
3,16,4975.340788
4,16,4971.576222
5,16,4973.129586
6,16,4978.704232
7,16,4981.773260
8,16,4985.775184
9,16,4989.120660
10,16,4977.859418
