run,threads,time_ms
1,32,11.673272
2,32,11.818483
3,32,11.836637
4,32,11.649165
5,32,11.460558
6,32,11.997756
7,32,12.044668
8,32,12.171861
9,32,11.607282
10,32,12.010045
