graph,config,threads,n,mean_ms,std_ms,median_ms,min_ms,p90_ms
com-orkut.ungraph,dijkstra,1,10,2546.2678664,5.196404665846614,2543.5807670000004,2540.757921,2552.975174
com-orkut.ungraph,dsa,1,10,4985.0675702,12.977941692127807,4978.6088545,4973.809343,4999.402497
com-orkut.ungraph,dsa,2,10,2561.0173617,1.3137124694065043,2561.450487,2559.082232,2562.194787
com-orkut.ungraph,dsa,4,10,1321.0892594,3.0144009864567076,1320.2540295,1317.413896,1325.050447
com-orkut.ungraph,dsa,8,10,689.8887191,2.969414218920304,688.6591780000001,686.747156,694.215678
com-orkut.ungraph,dsa,16,10,495.8490101,5.402059635751581,494.2673595,489.727564,503.173724
com-orkut.ungraph,dsa,32,10,380.0888732,3.385475076682803,379.922198,375.162706,383.773878
com-orkut.ungraph,dsa,64,10,275.2598322,8.7044014362441,277.1599035,263.350822,283.902563
com-orkut.ungraph,wasp,1,10,1663.8750301999999,18.058780154268007,1666.313019,1634.573543,1687.07379
com-orkut.ungraph,wasp,2,10,1597.6773556,3.2947560764772206,1596.2596210000002,1594.335342,1601.199323
com-orkut.ungraph,wasp,4,10,1609.0972375,0.5548627881037915,1608.9087690000001,1608.366257,1609.392939
com-orkut.ungraph,wasp,8,10,1649.1537625,0.6553285625979786,1649.1478809999999,1648.054129,1649.921246
com-orkut.ungraph,wasp,16,10,1651.2975893999999,0.43502239183803354,1651.4247384999999,1650.331786,1651.698682
com-orkut.ungraph,wasp,32,10,1650.1346343,1.8108410191800393,1649.4958335000001,1648.331739,1650.921233
com-orkut.ungraph,wasp,64,10,1725.0797505,1.189370419320523,1724.845089,1724.037392,1725.365248
